ObjetosID,Objetos,TituloID
134,Compás,191
45,Cuadro dentro del cuadro,191
135,Dinero,191
0,Enseres domésticos,191
42,Escultura,191
99,Espejo,191
136,Espejo de sobremesa,191
1,Florero,191
137,Instrumentos científicos,191
138,Instrumentos de astronomía,191
31,Joyas,191
5,Libro,191
13,Lámpara,191
17,Objeto de iluminación,191
29,Objeto uso individual,191
139,Objeto óptico,191
43,Objetos artísticos,191
10,Orbe / esfera,191
46,Pintura,191
140,Reloj,191
141,Telescopio,191
6,Elementos heráldicos y nobiliarios,192
7,Insignia / condecoración,192
31,Joyas,192
29,Objeto uso individual,192
142,Real Orden de Damas Nobles de la Reina Maria Luisa,192
53,Tocado,192
12,Órdenes Nobiliarias,192
0,Enseres domésticos,193
21,Objeto de adorno o servicio de mesa,193
0,Enseres domésticos,194
21,Objeto de adorno o servicio de mesa,194
31,Joyas,195
29,Objeto uso individual,195
143,Turbante,195
47,Alimentos,197
71,Cántaro,197
0,Enseres domésticos,197
2,Instrumentos de cuerda / cordófonos,197
3,Instrumentos musicales,197
21,Objeto de adorno o servicio de mesa,197
144,Plato,197
145,Puchero,197
52,Recipiente,197
54,Tonel,197
108,Viola,197
99,Espejo,201
136,Espejo de sobremesa,201
111,Arpa,203
112,Arpa diatónica,203
48,Flauta,203
146,Flauta travesera,203
2,Instrumentos de cuerda / cordófonos,203
50,Instrumentos de viento / aerófonos,203
3,Instrumentos musicales,203
39,Música escrita / partituras,203
40,Música ilegible,203
5,Libro,205
124,Instrumentos de percusión / membranófonos,208
3,Instrumentos musicales,208
126,Pandereta,208
19,Armas,209
147,Barril,209
38,Corona,209
56,Cuenco,209
0,Enseres domésticos,209
57,Jarro / jarra / jarrón,209
21,Objeto de adorno o servicio de mesa,209
29,Objeto uso individual,209
58,Puñal,209
52,Recipiente,209
30,Sombrero,209
27,Vaso / copa,209
6,Elementos heráldicos y nobiliarios,210
120,Guantes,210
7,Insignia / condecoración,210
15,Mueble,210
16,Mueble de asiento o reposo,210
29,Objeto uso individual,210
18,Silla / sillón,210
96,Toisón de Oro,210
12,Órdenes Nobiliarias,210
148,Balanza,214
149,Elementos para comercio,214
0,Enseres domésticos,218
76,Objetos de porcelana,218
24,Cestería,221
25,Cesto de costura,221
0,Enseres domésticos,221
14,Mesa,221
15,Mueble,221
23,Jardín,225
42,Escultura,228
43,Objetos artísticos,228
38,Corona,229
81,Corona de laurel,229
29,Objeto uso individual,229
62,Armadura,231
19,Armas,231
150,Báculo,231
151,Mitra,231
29,Objeto uso individual,231
8,Objetos de iconografía cristiana,231
150,Báculo,233
5,Libro,233
29,Objeto uso individual,233
19,Armas,234
28,Armas de fuego,234
19,Armas,236
2,Instrumentos de cuerda / cordófonos,237
3,Instrumentos musicales,237
97,Laúd,237
39,Música escrita / partituras,237
40,Música ilegible,237
4,Violín,237
33,Calavera / cráneo,238
35,Crucifijo,238
5,Libro,238
8,Objetos de iconografía cristiana,238
103,Indumentaria / vestido,240
107,Textil,240
152,Trajes regionales,240
47,Alimentos,244
19,Armas,244
147,Barril,244
38,Corona,244
56,Cuenco,244
0,Enseres domésticos,244
57,Jarro / jarra / jarrón,244
21,Objeto de adorno o servicio de mesa,244
29,Objeto uso individual,244
58,Puñal,244
52,Recipiente,244
30,Sombrero,244
27,Vaso / copa,244
55,Vino,244
24,Cestería,247
25,Cesto de costura,247
0,Enseres domésticos,247
1,Florero,247
5,Libro,247
64,Objeto o atributo de santos y mártires,249
8,Objetos de iconografía cristiana,249
9,Objetos o atributos mariológicos,249
65,Palma,249
47,Alimentos,252
19,Armas,252
20,Espada,252
103,Indumentaria / vestido,252
153,Indumentaria religiosa,252
72,Pan,252
107,Textil,252
19,Armas,253
85,Carruajes,253
86,Casco / yelmo,253
73,Cesta / canasta,253
24,Cestería,253
0,Enseres domésticos,253
129,Escudo,253
31,Joyas,253
94,Lanza,253
29,Objeto uso individual,253
92,Transporte,253
93,Transporte terrestre,253
0,Enseres domésticos,255
1,Florero,255
107,Textil,257
5,Libro,260
150,Báculo,261
5,Libro,261
29,Objeto uso individual,261
154,Amuleto,262
33,Calavera / cráneo,262
47,Alimentos,263
77,Caldero,263
155,Carne,263
0,Enseres domésticos,263
15,Mueble,263
16,Mueble de asiento o reposo,263
29,Objeto uso individual,263
52,Recipiente,263
18,Silla / sillón,263
30,Sombrero,263
53,Tocado,263
