FaunaID,Fauna,TituloID
0,Artrópodos (Filo: Arthropoda),476
160,Esfinge ocelada (Smerinthus ocellatus),476
107,Mariquita (Myzia oblongoguttata),476
161,Sortijitas (Aphantopus hyperanthus),476
0,Artrópodos (Filo: Arthropoda),478
109,Blanca verdinervada (Pieris napi),478
162,Limonera (Gonepteryx rhamni),478
136,Loba (Maniola jurtina),478
60,Vulcana / atalanta /numerada (Vanessa atalanta),478
15,Perro (Canis lupus familiaris),479
0,Artrópodos (Filo: Arthropoda),484
163,Caballito del diablo (Coenagrion sp.),484
78,Carbonero común (Parus major),484
164,Chinche asesina (Peirates hybridus o Peirates stridulus),484
68,Escarabajo ajedrezado / Lobo de las abejas (Trichodes apiarius),484
165,Escarabajo longicornio (Ruptela maculata),484
69,Escarabajo sanjuanero (Melolontha melolontha),484
6,Herrerillo común (Parus caeruleus),484
7,Jilguero (Carduelis carduelis),484
166,Mariposa nocturna (Calliteara pudibunda),484
30,Mariposa ícaro / Ícaro (Polyommatus icarus),484
25,Mariquita /mariquita de 7 puntos / mariquita común (Coccinella septempunctata),484
133,Mosca doméstica (Musca domestica),484
167,Mírido (Dicyphus sp.),484
26,Níspola / ocelada común (Coenonympha pamphilus),484
131,Polilla (Trichiura crataegi),484
105,Saltamontes / Esperanzas (Tettigonia viridissima),484
168,Saltamontes común de campo (Chorthippus brunneus),484
84,Gato (Felis silvestris catus),490
38,Cabra (Capra aegagrus),496
0,Artrópodos (Filo: Arthropoda),497
169,Aurora blanca / musgosa (Anthocharis cardamines),497
28,Caballito del diablo (Platycnemis pennipes),497
70,Cacatúa Sulfúrea (Cacatua sulphurea),497
78,Carbonero común (Parus major),497
3,Ciervo (Cervus elaphus),497
170,Ciervo volante (Lucanus cervus),497
4,Cobaya común / Conejillo de Indias (Cavia porcelus),497
171,Colirrojo real (Phoenicurus phoenicurus),497
5,Conejo (Oryctolagus cuniculus),497
68,Escarabajo ajedrezado / Lobo de las abejas (Trichodes apiarius),497
165,Escarabajo longicornio (Ruptela maculata),497
69,Escarabajo sanjuanero (Melolontha melolontha),497
49,Guacamayo rojo (Ara chloroptera),497
6,Herrerillo común (Parus caeruleus),497
7,Jilguero (Carduelis carduelis),497
