Fauna,Escuela,Año_rango,Año,Título
Cuervo (Corvus corax),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Garza (Ardea),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Garza real (Ardea cinerea),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
León (Panthera leo),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Oveja (Ovis aries),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Paloma (Columba ssp),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Urraca (Pica pica),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Cuervo (Corvus corax),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Garza (Ardea),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Garza real (Ardea cinerea),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
León (Panthera leo),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Oveja (Ovis aries),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Paloma (Columba ssp),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Urraca (Pica pica),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Cuervo (Corvus corax),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Garza (Ardea),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Garza real (Ardea cinerea),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
León (Panthera leo),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Oveja (Ovis aries),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Paloma (Columba ssp),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Urraca (Pica pica),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Cuervo (Corvus corax),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Garza (Ardea),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Garza real (Ardea cinerea),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
León (Panthera leo),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Oveja (Ovis aries),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Paloma (Columba ssp),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Urraca (Pica pica),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Cuervo (Corvus corax),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Garza (Ardea),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Garza real (Ardea cinerea),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
León (Panthera leo),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Oveja (Ovis aries),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Paloma (Columba ssp),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Urraca (Pica pica),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Cuervo (Corvus corax),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Garza (Ardea),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Garza real (Ardea cinerea),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
León (Panthera leo),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Oveja (Ovis aries),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Paloma (Columba ssp),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Urraca (Pica pica),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Cuervo (Corvus corax),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Garza (Ardea),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Garza real (Ardea cinerea),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
León (Panthera leo),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Oveja (Ovis aries),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Paloma (Columba ssp),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Urraca (Pica pica),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Cuervo (Corvus corax),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Garza (Ardea),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Garza real (Ardea cinerea),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
León (Panthera leo),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Oveja (Ovis aries),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Paloma (Columba ssp),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Urraca (Pica pica),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Cuervo (Corvus corax),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Garza (Ardea),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Garza real (Ardea cinerea),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
León (Panthera leo),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Oveja (Ovis aries),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Paloma (Columba ssp),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Urraca (Pica pica),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Cuervo (Corvus corax),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Garza (Ardea),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Garza real (Ardea cinerea),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
León (Panthera leo),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Oveja (Ovis aries),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Paloma (Columba ssp),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Urraca (Pica pica),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Cuervo (Corvus corax),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Garza (Ardea),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Garza real (Ardea cinerea),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
León (Panthera leo),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Oveja (Ovis aries),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Paloma (Columba ssp),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Urraca (Pica pica),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Cuervo (Corvus corax),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Garza (Ardea),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Garza real (Ardea cinerea),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
León (Panthera leo),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Oveja (Ovis aries),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Paloma (Columba ssp),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Urraca (Pica pica),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Cuervo (Corvus corax),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Garza (Ardea),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Garza real (Ardea cinerea),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
León (Panthera leo),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Oveja (Ovis aries),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Paloma (Columba ssp),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Urraca (Pica pica),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Cuervo (Corvus corax),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Garza (Ardea),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Garza real (Ardea cinerea),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
León (Panthera leo),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Oveja (Ovis aries),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Paloma (Columba ssp),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Urraca (Pica pica),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Cuervo (Corvus corax),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Garza (Ardea),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
Garza real (Ardea cinerea),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
León (Panthera leo),Flamenca,1401 - 1600,1501,"""La Anunciación, San Jerónimo y San Juan Bautista"""
