Personajes,Año_rango,Año,Frecuencia
María de las Nieves Micaela Fourdinier,1601 - 1800,1783,20
María de las Nieves Micaela Fourdinier,1601 - 1800,1783,20
María de las Nieves Micaela Fourdinier,1601 - 1800,1783,20
María de las Nieves Micaela Fourdinier,1601 - 1800,1783,20
María de las Nieves Micaela Fourdinier,1601 - 1800,1783,20
Jesús,1601 - 1800,1660,1336
Jesús,1601 - 1800,1660,1336
Jesús,1601 - 1800,1660,1336
Jesús,1601 - 1800,1660,1336
Jesús,1601 - 1800,1660,1336
Jesús,1601 - 1800,1660,1336
Luis IX de Francia / San Luis de Francia,1601 - 1800,1660,6
Luis IX de Francia / San Luis de Francia,1601 - 1800,1660,6
Luis IX de Francia / San Luis de Francia,1601 - 1800,1660,6
Luis IX de Francia / San Luis de Francia,1601 - 1800,1660,6
Luis IX de Francia / San Luis de Francia,1601 - 1800,1660,6
